"Ticker","Nome","Negócios","Última (R$)","Variação"
"MRSA3B","MRS Logística","1.000","27,00","-6,80%"
"REDE3","Rede Energia","1.000","6,83","-0,44%"
"CTNM3","Coteminas","900","7,75","+9,00%"
"FRIO3","Metalfrio","800","317,00","+5,67%"
"EALT3","Electro Aço Altona","800","10,86","-9,42%"
"TRPL3","Transmissão Paulista","700","35,41","-1,53%"
"BMIN4","Banco Mercantil de Investimentos","700","15,60","-3,70%"
"BRKM3","Braskem","600","19,20","+0,95%"
"AVLL3","Alphaville","600","3,59","+0,28%"
"CEDO4","Cedro Têxtil","500","27,99","+3,74%"
"CSRN3","COSERN","500","24,75","-0,28%"
"CLSC3","Celesc","400","67,00","+0,75%"
"MNDL3","Mundial","400","45,50","+1,13%"
"HETA4","Hercules","400","5,61","-3,11%"
"PSVM11","PSVM11","400","5,09","+2,00%"
"GOLL11","GOL","400","0,68","+0,00%"
"PEAB4","Participações Aliança da Bahia","300","43,38","+0,00%"
"EKTR4","Elektro","300","39,55","+0,00%"
"CRPG6","Tronox Pigmentos","300","29,98","-1,67%"
"BNBR3","Banco do Nordeste","200","116,50","+2,19%"
"JOPA3","Josapar","200","21,00","+0,00%"
"AFLT3","Afluente T","200","7,17","-1,10%"
"SNSY5","Sansuy","200","6,26","+2,45%"
"WHRL3","Whirlpool","200","4,58","+0,00%"
"HAGA3","Haga","200","2,57","+1,58%"
"BAUH4","Excelsior","100","77,90","-1,25%"
"APER3","Alper","100","45,32","+1,16%"
"HBTS5","Habitasul","100","40,51","-9,98%"
"CEEB3","COELBA","100","39,51","+0,00%"
"COCE3","Coelce","100","35,25","+0,11%"
"WLMM4","WLM","100","30,73","+1,09%"
"CEDO3","Cedro Têxtil","100","29,00","+0,03%"
"BGIP3","Banese","100","24,00","+0,00%"
"BGIP4","Banese","100","22,89","-0,22%"
"EUCA3","Eucatex","100","15,05","+0,00%"
"LUXM4","Trevisa","100","14,54","+2,04%"
"FESA3","Ferbasa","100","14,01","+0,07%"
"DEXP4","Dexxos","100","10,99","-0,09%"
"BMKS3","Monark","3","356,01","+0,00%"
"IGTI4","Jereissati Participações","1.700","8,83","+6,26%"
"IGTI4","Iguatemi","1.700","8,83","+6,26%"
"GEPA3","Rio Paranapanema Energia","1.300","26,00","+2,85%"
"BALM4","Baumer","1.000","9,76","+0,62%"
"GEPA4","Rio Paranapanema Energia","700","24,75","-1,79%"
"MGEL4","Mangels","600","13,93","+3,03%"
"BDLL4","Bardella","600","10,00","+0,00%"
"SNSY3","Sansuy","500","12,84","-0,47%"
"TEKA4","Teka","100","34,95","+0,00%"
"EQMA3B","Equatorial Maranhão","100","26,11","+0,00%"
"CTKA4","Karsten","100","17,50","-2,78%"
"BALM3","Baumer","100","10,50","+0,00%"
"ESTR4","Estrela","100","2,00","-2,44%"
"MERC4","Mercantil do Brasil Financeira","1.600","8,10","+0,00%"
"PTNT3","Pettenati","300","10,05","-0,40%"
"PEAB3","Participações Aliança da Bahia","200","42,50","-5,56%"
"CSRN6","COSERN","200","23,34","-0,04%"
"MOAR3","Monteiro Aranha","100","398,00","+0,76%"
"EKTR3","Elektro","100","38,69","+1,82%"
"AHEB3","São Paulo Turismo","100","24,95","+0,00%"
"BRKM6","Braskem","100","15,20","-4,34%"
"RPAD3","Alfa Holdings","100","9,00","+11,11%"
"RPAD5","Alfa Holdings","100","8,88","+6,99%"
"RPAD6","Alfa Holdings","100","8,50","-5,66%"
"MAPT3","Cemepe","100","4,27","-12,86%"
"MAPT4","Cemepe","7.500","6,60","+11,86%"
"PINE3","Banco Pine","1.000","6,02","+3,79%"
"CGAS3","Comgás","200","106,00","-1,85%"
"LIPR3","Eletropar","100","48,80","-0,41%"
"WLMM3","WLM","100","24,20","+4,31%"
"BRSR5","Banrisul","100","15,00","-6,25%"
"PINE11","Banco Pine","100","10,50","-4,55%"
"CBEE3","Ampla Energia","100","10,00","+0,00%"
"CTKA3","Karsten","600","19,01","-7,27%"
"FIEI3","Fica","600","9,15","+1,67%"
"EQPA6","Equatorial Energia Pará","100","7,01","-22,11%"
"DOHL3","Döhler","100","5,10","-3,59%"
"GSHP3","General Shopping & Outlets","400","10,50","+0,00%"
"TKNO4","Tekno","100","65,00","+6,56%"
"PATI3","Panatlântica","100","26,76","-10,50%"
"USIM6","Usiminas","200","14,00","-3,31%"
"JOPA4","Josapar","100","34,98","-0,06%"
"DTCY3","Dtcom","300","5,40","+3,85%"
