index;Publishing Year;Book Name;Author;language_code;Author_Rating;Book_average_rating;Book_ratings_count;genre;gross sales;publisher revenue;sale price;sales rank;Publisher ;units sold
15;19740;Zen and the Art of Motorcycle Maintenance;Robert M. Pirsig;eng;Intermediate;376;139411;genre fiction;1629734;0;499;16;Amazon Digital Services,  Inc.;3266
16;18970;The War of the Worlds;H.G. Wells, Arthur C. Clarke;eng;Intermediate;38;159752;genre fiction;159680;0;499;17;Amazon Digital Services,  Inc.;3200
17;20060;Pretty Little Liars;Sara Shepard;en-US;Intermediate;39;156328;genre fiction;159680;0;499;17;Amazon Digital Services,  Inc.;3200
18;19480;Corduroy;Don Freeman;en-US;Intermediate;428;160860;genre fiction;623467;3740802;199;18;Simon and Schuster Digital Sales Inc;3133
19;20060;The Omnivore's Dilemma;Michael Pollan;eng;Intermediate;417;133271;genre fiction;303534;0;99;19;Amazon Digital Services,  Inc.;3066
20;20130;Life After Life;Kate Atkinson;eng;Intermediate;374;138454;genre fiction;1170267;0;399;21;Amazon Digital Services,  Inc.;2933
21;20000;The Rescue;Nicholas Sparks;en-US;Intermediate;41;142092;genre fiction;856934;0;299;22;Amazon Digital Services,  Inc.;2866
22;19910;Needful Things;Stephen King;;Intermediate;387;153821;genre fiction;27720;0;99;23;Amazon Digital Services,  Inc.;2800
23;19930;Voyager;Diana Gabaldon;eng;Intermediate;438;157395;genre fiction;817167;0;299;24;Amazon Digital Services,  Inc.;2733
24;19960;;Kenneth Branagh, William Shakespeare;eng;Intermediate;412;156869;genre fiction;263934;1583604;99;25;Amazon Digital Services,  Inc.;2666
25;19810;Cujo;Stephen King;spa;Intermediate;365;158215;genre fiction;77740;0;299;26;Amazon Digital Services,  Inc.;2600
26;19930;The Virgin Suicides;Jeffrey Eugenides;eng;Intermediate;383;159249;genre fiction;2690406;16142436;1091;28;Penguin Group (USA) LLC;2466
27;20040;Dead to the World;Charlaine Harris;eng;Intermediate;413;199572;genre fiction;23760;0;99;29;Amazon Digital Services,  Inc.;2400
28;18910;Tess of the d'Urbervilles: A Pure Woman Faithfully Presented;Thomas Hardy, Tim Dolin, Margaret R. Higonnet;eng;Intermediate;377;171599;nonfiction;95760;57456;399;29;Hachette Book Group;2400
29;18560;Madame Bovary;Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall;eng;Intermediate;364;158877;genre fiction;930867;0;399;30;Amazon Digital Services,  Inc.;2333
30;19610;The Phantom Tollbooth;Norton Juster, Jules Feiffer;en-US;Intermediate;422;178432;genre fiction;450934;0;199;31;Amazon Digital Services,  Inc.;2266
31;20100;The Way of Kings;Brandon Sanderson;eng;Famous;464;144822;genre fiction;21780;0;99;32;Amazon Digital Services,  Inc.;2200
32;20030;Club Dead;Charlaine Harris;en-GB;Intermediate;403;181323;genre fiction;131780;79068;599;32;HarperCollins Publishers;2200
33;20060;It's Kind of a Funny Story;Ned Vizzini;en-US;Intermediate;414;161001;nonfiction;204534;1227204;99;34;HarperCollins Publishers;2066
34;20070;;Brandon Sanderson;eng;Intermediate;435;150736;genre fiction;179800;107880;899;35;Random House LLC;2000
35;20150;After You;Jojo Moyes;eng;Intermediate;37;99342;genre fiction;196416;0;99;36;Amazon Digital Services,  Inc.;1984
36;20110;The Language of Flowers;Vanessa Diffenbaugh;eng;Intermediate;407;140076;genre fiction;196416;1178496;99;36;Amazon Digital Services,  Inc.;1984
37;19860;Batman: The Dark Knight Returns;Frank Miller, Klaus Janson, Lynn Varley;eng;Intermediate;425;135979;genre fiction;194931;0;99;37;Amazon Digital Services,  Inc.;1969
38;20050;The Angel Experiment;James Patterson;eng;Intermediate;408;172302;genre fiction;194931;0;99;37;Amazon Digital Services,  Inc.;1969
39;19950;High Fidelity;Nick Hornby;eng;Intermediate;394;134849;genre fiction;2030955;1218573;1065;41;Random House LLC;1907
40;20030;The Guardian;Nicholas Sparks;en-US;Intermediate;414;136427;genre fiction;187308;0;99;42;Amazon Digital Services,  Inc.;1892
41;20030;Oryx and Crake;Margaret Atwood;eng;Intermediate;40;151500;genre fiction;748524;0;399;43;Amazon Digital Services,  Inc.;1876
42;19980;Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships;John Gray;en-US;Intermediate;352;113915;genre fiction;370339;2222034;199;44;Amazon Digital Services,  Inc.;1861
43;20000;Kitchen Confidential: Adventures in the Culinary Underbelly;Anthony Bourdain;eng;Intermediate;40;134177;genre fiction;1105754;6634524;599;45;HarperCollins Publishers;1846
44;19990;Timeline;Michael Crichton;en-US;Intermediate;383;148563;genre fiction;127917;767502;699;46;Amazon Digital Services,  Inc.;1830
45;17590;Candide;Voltaire;eng;Intermediate;376;151471;genre fiction;89820;0;499;48;Amazon Digital Services,  Inc.;1800
46;19750;Tuck Everlasting;Natalie Babbitt;eng;Intermediate;385;174280;nonfiction;35820;21492;199;48;Amazon Digital Services,  Inc.;1800
47;19830;Christine;Stephen King, Marie Milpois;fre;Intermediate;372;151160;nonfiction;176616;1059696;99;49;Amazon Digital Services,  Inc.;1784
48;19600;Are You My Mother?;P.D. Eastman;eng;Intermediate;416;174204;genre fiction;1059631;6357786;599;50;Penguin Group (USA) LLC;1769
49;19500;The Story of Art;E.H. Gombrich;en-US;Intermediate;383;164708;genre fiction;1505827;9034962;859;51;Hachette Book Group;1753
50;20130;Scarlet;Marissa Meyer;eng;Intermediate;43;193766;genre fiction;172062;1032372;99;52;Amazon Digital Services,  Inc.;1738
51;19970;Rich Dad , Poor Dad;Robert T. Kiyosaki;eng;Intermediate;395;153764;genre fiction;170577;1023462;99;53;Random House LLC;1723
52;20110;Silence ;Becca Fitzpatrick;eng;Intermediate;416;190722;genre fiction;851793;0;499;54;Amazon Digital Services,  Inc.;1707
53;20090;The Magicians;Lev Grossman;eng;Novice;347;147908;genre fiction;167508;1005048;99;55;Macmillan;1692
54;20040;ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ);Tsugumi Ohba, Takeshi Obata;eng;Famous;442;139501;genre fiction;668724;0;399;56;Amazon Digital Services,  Inc.;1676
55;20030;A Great and Terrible Beauty;Libba Bray;eng;Intermediate;379;173613;genre fiction;496639;2979834;299;57;Penguin Group (USA) LLC;1661
